127.0.0.1 - - [22/May/2017:11:53:58 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:00 +0200] "GET /Twitter/timeline HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:00 +0200] "GET /Twitter/imgs/logo_user.png HTTP/1.1" 200 15671
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:00 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:09 +0200] "GET /Twitter/ HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:09 +0200] "GET /Twitter/css/app.css HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:09 +0200] "GET /Twitter/css/home.css HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:09 +0200] "GET /Twitter/css/register.css HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:09 +0200] "GET /Twitter/css/login.css HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:09 +0200] "GET /Twitter/css/timeline.css HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:09 +0200] "GET /Twitter/css/succes.css HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:13 +0200] "GET /Twitter/js/app.js HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:13 +0200] "GET /Twitter/js/register.js HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:13 +0200] "GET /Twitter/imgs/ano.png HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:13 +0200] "GET /Twitter/fonts/HACKED.ttf HTTP/1.1" 200 26664
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:13 +0200] "GET /Twitter/home HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [22/May/2017:11:54:13 +0200] "GET /Twitter/imgs/moca.png HTTP/1.1" 200 629962
